cluster	gene	p_val	p_val_adj	avg_logFC
0	Col5a3	1.47325469110085e-22	1.90978005607403e-18	1.68994979742434
0	Sod3	1.97077846708994e-22	2.55472012688869e-18	1.00405367447757
0	Rbp1	4.22074106660685e-22	5.47134664464246e-18	0.864586976123016
0	Fibin	6.46919927108783e-22	8.38602301511115e-18	1.41314732762537
0	Dpep1	7.11194440045273e-22	9.21921352630687e-18	1.0533089057451
0	Hmgcs2	8.51100618303318e-22	1.10328173150659e-17	1.66039178484595
0	Tnxb	9.38100213958357e-22	1.21605930735422e-17	1.29693497406832
0	Pdlim2	9.99222064253282e-22	1.29529156189153e-17	1.20724857122927
0	Rpl10	1.08438647103171e-21	1.40569018239841e-17	0.517073378669601
0	Gstm1	1.25331275082395e-21	1.62466931889308e-17	0.838133742128972
0	Snx18	1.57973682265372e-21	2.04781284320602e-17	1.23781584427106
0	Aldh1a1	2.29441681289914e-21	2.97425251456116e-17	1.67387940768823
0	Abi3bp	2.71780966975965e-21	3.52309667490943e-17	1.4208873013935
0	Phlda1	4.20212013977788e-21	5.44720833719407e-17	1.65388275840377
0	Vcan	5.75124411769531e-21	7.45533774976843e-17	1.21289422671316
0	Lamc1	1.01592977258263e-20	1.31694976419886e-16	1.08048708095988
0	Fbln5	1.43271035946243e-20	1.85722243897114e-16	0.845191110813681
0	Inmt	2.03648220261398e-20	2.6398918792485e-16	2.70657773470497
0	Tgfb3	2.87827167215344e-20	3.73110356861251e-16	1.50892908908125
0	Pcolce2	3.28315047692139e-20	4.2559479632332e-16	1.03695112879567
0	Tmem119	4.6341854767562e-20	6.00729463351907e-16	1.35296691448964
0	Lgals1	6.44294559949488e-20	8.35199038062522e-16	0.855444933119501
0	Lama2	6.87947933542621e-20	8.91786906251299e-16	1.31219538910764
0	Rplp0	7.66881065430181e-20	9.94107925117143e-16	0.467897986909413
0	Col6a3	1.55659937707314e-19	2.01781977249991e-15	1.64651969283994
0	Meg3	2.25592228567828e-19	2.92435205892476e-15	1.18999588002117
0	Anxa1	3.8588941390701e-19	5.00228447247657e-15	1.01567445021967
0	Podn	4.8714258876168e-19	6.31482937811766e-15	1.52667118118205
0	Fgfr1	7.13420607455376e-19	9.24807133444404e-15	1.03249269062462
0	Txndc5	8.87218469550071e-19	0.0000000000000115010130207776	1.01504155481513
0	Col5a1	9.54985024616058e-19	0.000000000000012379470874098	1.35771289496809
0	Gpr153	1.28269965120221e-18	0.0000000000000166276355785343	1.25680234705807
0	C3	1.47840144377439e-18	0.0000000000000191645179156474	1.75795199418124
0	Il33	1.58954868063107e-18	0.0000000000000206053195470206	1.5615977290849
0	Rcn1	3.03425355570107e-18	0.0000000000000393330288425529	1.01116658419955
0	Cd63	3.23771017323728e-18	0.0000000000000419704369756749	0.794553435445018
0	Chpf	3.64755893531983e-18	0.000000000000047283306478551	1.34046410110665
0	Sulf2	4.76824399758217e-18	0.0000000000000618107469406576	1.18544842723355
0	Hmgn1	5.07946674416638e-18	0.0000000000000658451274046288	0.869817816648481
0	Rps4x	5.25802788609539e-18	0.0000000000000681598154874546	0.491836529639973
0	Rpl14	6.86620601679526e-18	0.000000000000089006628595717	0.442072850700773
0	Bicc1	7.48838519385587e-18	0.0000000000000970719372679536	1.23252271640421
0	Rcn3	7.64128357901526e-18	0.0000000000000990539590347748	0.968983231045661
0	Igfbp4	1.65995773944953e-17	0.000000000000215180321764843	0.658840474831828
0	Atp1a2	1.98286094582629e-17	0.000000000000257038264407462	1.0480954032807
0	0610007N19Rik	2.80487649118975e-17	0.000000000000363596139552927	1.07671435507967
0	Aebp1	4.40297501823941e-17	0.000000000000570757651614374	1.28740796928255
0	Nfia	5.72668609808202e-17	0.000000000000742350318894372	0.908355483194934
0	Fxyd1	6.62880466737093e-17	0.000000000000859291949031294	0.843156528025802
0	Rpl13	7.9654989325703e-17	0.00000000000103256762662909	0.394760856786121
